iter	RMSE
0	14.70926777
1	14.41745073
2	14.13485273
3	13.84795247
4	13.58556215
5	13.33854291
6	13.10631708
7	12.89945948
8	12.6542771
9	12.40623271
10	12.17119103
11	11.95815413
12	11.75273064
13	11.54439195
14	11.34422554
15	11.13803901
16	10.95577499
17	10.77417127
18	10.59245061
19	10.41385227
20	10.27004168
21	10.1192676
22	9.947824562
23	9.788860161
24	9.64713587
25	9.509158364
26	9.366631049
27	9.245655235
28	9.105795881
29	8.988869331
30	8.86665374
31	8.750742825
32	8.642870008
33	8.535749959
34	8.422293544
35	8.316767235
36	8.215861442
37	8.124215101
38	8.029105581
39	7.929850538
40	7.844486369
41	7.774819361
42	7.691572047
43	7.620841312
44	7.54327065
45	7.470455972
46	7.399128774
47	7.328194053
48	7.255261888
49	7.187216992
50	7.123861857
51	7.059597612
52	7.002660707
53	6.942821911
54	6.88455079
55	6.829172681
56	6.776554487
57	6.731342108
58	6.681617778
59	6.636418696
60	6.592184907
61	6.546276621
62	6.498800539
63	6.454900091
64	6.415099765
65	6.379761531
66	6.339340518
67	6.302769557
68	6.274496679
69	6.240012976
70	6.20826445
71	6.174043417
72	6.142829372
73	6.111293776
74	6.082969948
75	6.054200895
76	6.024219723
77	5.998469278
78	5.97208869
79	5.94503331
80	5.925981328
81	5.90137291
82	5.877811399
83	5.854360853
84	5.840283348
85	5.824999825
86	5.802319906
87	5.78024078
88	5.758757862
89	5.740247211
90	5.718300344
91	5.704523991
92	5.686355006
93	5.6717719
94	5.656590282
95	5.638516096
96	5.623547853
97	5.608108785
98	5.598828741
99	5.584480139
100	5.568395695
101	5.554794826
102	5.541301651
103	5.529443765
104	5.518667512
105	5.504184756
106	5.491352403
107	5.479937013
108	5.467486627
109	5.458059342
110	5.447610062
111	5.437175424
112	5.429616086
113	5.421535502
114	5.412843513
115	5.403150374
116	5.395711726
117	5.386550404
118	5.380540839
119	5.372961719
120	5.365485804
121	5.361026186
122	5.352833941
123	5.344271792
124	5.336892406
125	5.327945927
126	5.320138535
127	5.313164814
128	5.303515472
129	5.294580889
130	5.287383308
131	5.27902447
132	5.268536063
133	5.259665521
134	5.255347296
135	5.250248248
136	5.243992397
137	5.235992801
138	5.226564496
139	5.219850292
140	5.213330079
141	5.20788198
142	5.199898089
143	5.192071121
144	5.184057359
145	5.178594797
146	5.173841268
147	5.17080474
148	5.166666514
149	5.161557399
150	5.159979993
151	5.15553645
152	5.150861427
153	5.144613257
154	5.137829887
155	5.132215731
156	5.1276021
157	5.124248051
158	5.121033709
159	5.11805522
160	5.115031959
161	5.113150349
162	5.109015269
163	5.10460772
164	5.102419837
165	5.099640762
166	5.095202907
167	5.089965899
168	5.084555751
169	5.079708276
170	5.076271475
171	5.072181999
172	5.066841335
173	5.06271932
174	5.058313633
175	5.052347484
176	5.049568826
177	5.044202335
178	5.041563473
179	5.038411488
180	5.034165219
181	5.030520727
182	5.025122599
183	5.021642655
184	5.018595955
185	5.015896612
186	5.013001524
187	5.009986021
188	5.008776399
189	5.004039118
190	4.998974497
191	4.997101474
192	4.991384602
193	4.987438702
194	4.982768863
195	4.980898415
196	4.976746713
197	4.97356134
198	4.969754202
199	4.967311332
